MIN_SUPPORT=15, MIN_CONFIDENCE=60
calc_for_portion(i_start=0, i_finish=100, 2020-09-25 21:06:32.235114
calc_for_portion(i_start=600, i_finish=700, 2020-09-25 21:06:32.253022
calc_for_portion(i_start=1200, i_finish=1300, 2020-09-25 21:06:32.271615
calc_for_portion(i_start=1800, i_finish=1900, 2020-09-25 21:06:32.290458
calc_for_portion(i_start=2400, i_finish=2500, 2020-09-25 21:06:32.311398
calc_for_portion(i_start=3000, i_finish=3100, 2020-09-25 21:06:32.329369
calc_for_portion(i_start=3100, i_finish=3200, 2020-09-25 22:57:05.273385
calc_for_portion(i_start=1900, i_finish=2000, 2020-09-25 22:58:59.785273
calc_for_portion(i_start=1300, i_finish=1400, 2020-09-25 22:59:33.913978
calc_for_portion(i_start=700, i_finish=800, 2020-09-25 23:02:10.717332
calc_for_portion(i_start=2500, i_finish=2600, 2020-09-25 23:03:33.073141
calc_for_portion(i_start=100, i_finish=200, 2020-09-25 23:06:19.171403
calc_for_portion(i_start=3200, i_finish=3300, 2020-09-26 00:35:58.584915
calc_for_portion(i_start=2000, i_finish=2100, 2020-09-26 00:52:24.749590
calc_for_portion(i_start=800, i_finish=900, 2020-09-26 00:52:31.987831
calc_for_portion(i_start=1400, i_finish=1500, 2020-09-26 00:55:00.980306
calc_for_portion(i_start=2600, i_finish=2700, 2020-09-26 01:00:31.505237
calc_for_portion(i_start=200, i_finish=300, 2020-09-26 01:07:41.817869
calc_for_portion(i_start=3300, i_finish=3400, 2020-09-26 02:24:03.335810
calc_for_portion(i_start=2100, i_finish=2200, 2020-09-26 02:42:09.178377
calc_for_portion(i_start=1500, i_finish=1600, 2020-09-26 02:45:59.899848
calc_for_portion(i_start=900, i_finish=1000, 2020-09-26 02:48:44.408554
calc_for_portion(i_start=2700, i_finish=2800, 2020-09-26 02:49:33.088992
calc_for_portion(i_start=300, i_finish=400, 2020-09-26 03:05:52.403930
calc_for_portion(i_start=3400, i_finish=3500, 2020-09-26 04:10:19.908516
calc_for_portion(i_start=2200, i_finish=2300, 2020-09-26 04:28:52.061612
calc_for_portion(i_start=2800, i_finish=2900, 2020-09-26 04:36:59.964562
calc_for_portion(i_start=1000, i_finish=1100, 2020-09-26 04:44:42.726472
calc_for_portion(i_start=1600, i_finish=1700, 2020-09-26 04:51:21.281940
calc_for_portion(i_start=400, i_finish=500, 2020-09-26 04:57:22.841119
calc_for_portion(i_start=3500, i_finish=3600, 2020-09-26 05:56:00.723968
calc_for_portion(i_start=2900, i_finish=3000, 2020-09-26 06:20:11.630785
calc_for_portion(i_start=2300, i_finish=2400, 2020-09-26 06:28:40.476441
calc_for_portion(i_start=1700, i_finish=1800, 2020-09-26 06:37:00.692990
calc_for_portion(i_start=1100, i_finish=1200, 2020-09-26 06:37:10.898748
calc_for_portion(i_start=500, i_finish=600, 2020-09-26 06:48:44.810749
calc_for_portion(i_start=3600, i_finish=3700, 2020-09-26 07:39:35.451551
calc_for_portion(i_start=4200, i_finish=4300, 2020-09-26 08:08:16.894185
calc_for_portion(i_start=4800, i_finish=4900, 2020-09-26 08:14:10.433033
calc_for_portion(i_start=5400, i_finish=5500, 2020-09-26 08:25:16.270297
calc_for_portion(i_start=6000, i_finish=6100, 2020-09-26 08:27:51.625333
calc_for_portion(i_start=6600, i_finish=6700, 2020-09-26 08:32:02.300749
calc_for_portion(i_start=3700, i_finish=3800, 2020-09-26 09:23:21.745542
calc_for_portion(i_start=4300, i_finish=4400, 2020-09-26 09:50:41.684271
calc_for_portion(i_start=4900, i_finish=5000, 2020-09-26 10:07:28.637383
calc_for_portion(i_start=6700, i_finish=6800, 2020-09-26 10:16:50.794448
calc_for_portion(i_start=6100, i_finish=6200, 2020-09-26 10:18:42.628545
calc_for_portion(i_start=5500, i_finish=5600, 2020-09-26 10:19:57.505264
calc_for_portion(i_start=3800, i_finish=3900, 2020-09-26 11:08:35.034913
calc_for_portion(i_start=4400, i_finish=4500, 2020-09-26 11:30:30.565490
calc_for_portion(i_start=5000, i_finish=5100, 2020-09-26 11:58:14.362193
calc_for_portion(i_start=6200, i_finish=6300, 2020-09-26 11:59:51.993880
calc_for_portion(i_start=6800, i_finish=6900, 2020-09-26 12:00:19.000889
calc_for_portion(i_start=5600, i_finish=5700, 2020-09-26 12:08:46.228614
calc_for_portion(i_start=3900, i_finish=4000, 2020-09-26 12:51:36.542753
calc_for_portion(i_start=4500, i_finish=4600, 2020-09-26 13:18:27.589926
calc_for_portion(i_start=5100, i_finish=5200, 2020-09-26 13:43:29.836353
calc_for_portion(i_start=6900, i_finish=7000, 2020-09-26 13:47:07.705094
calc_for_portion(i_start=6300, i_finish=6400, 2020-09-26 13:48:31.490828
calc_for_portion(i_start=5700, i_finish=5800, 2020-09-26 14:02:17.901277
calc_for_portion(i_start=4000, i_finish=4100, 2020-09-26 14:24:23.557239
calc_for_portion(i_start=4600, i_finish=4700, 2020-09-26 15:17:18.581035
calc_for_portion(i_start=6400, i_finish=6500, 2020-09-26 15:29:15.545012
calc_for_portion(i_start=5200, i_finish=5300, 2020-09-26 15:30:52.837624
