MIN_SUPPORT=0.3, MIN_CONFIDENCE=0.6
calc_for_portion(i_start=0, i_finish=99, 2020-09-25 09:15:25.926291
calc_for_portion(i_start=600, i_finish=699, 2020-09-25 09:15:25.926386
calc_for_portion(i_start=1200, i_finish=1299, 2020-09-25 09:15:25.926529
calc_for_portion(i_start=1800, i_finish=1899, 2020-09-25 09:15:25.926651
calc_for_portion(i_start=2400, i_finish=2499, 2020-09-25 09:15:25.926728
calc_for_portion(i_start=3000, i_finish=3099, 2020-09-25 09:15:25.926829
calc_for_portion(i_start=2500, i_finish=2599, 2020-09-25 09:16:24.255668
calc_for_portion(i_start=1300, i_finish=1399, 2020-09-25 09:16:24.693310
calc_for_portion(i_start=700, i_finish=799, 2020-09-25 09:16:24.813045
calc_for_portion(i_start=3100, i_finish=3199, 2020-09-25 09:16:25.024382
calc_for_portion(i_start=100, i_finish=199, 2020-09-25 09:16:26.293135
calc_for_portion(i_start=1900, i_finish=1999, 2020-09-25 09:16:27.126006
calc_for_portion(i_start=3200, i_finish=3299, 2020-09-25 09:17:24.114041
calc_for_portion(i_start=1400, i_finish=1499, 2020-09-25 09:17:24.599143
calc_for_portion(i_start=800, i_finish=899, 2020-09-25 09:17:25.698838
calc_for_portion(i_start=2600, i_finish=2699, 2020-09-25 09:17:25.806912
calc_for_portion(i_start=2000, i_finish=2099, 2020-09-25 09:17:26.225262
calc_for_portion(i_start=200, i_finish=299, 2020-09-25 09:17:26.902262
calc_for_portion(i_start=1500, i_finish=1599, 2020-09-25 09:18:22.224638
calc_for_portion(i_start=3300, i_finish=3399, 2020-09-25 09:18:23.351465
calc_for_portion(i_start=2100, i_finish=2199, 2020-09-25 09:18:24.169993
calc_for_portion(i_start=2700, i_finish=2799, 2020-09-25 09:18:24.607827
calc_for_portion(i_start=900, i_finish=999, 2020-09-25 09:18:25.142131
calc_for_portion(i_start=300, i_finish=399, 2020-09-25 09:18:29.354393
calc_for_portion(i_start=2200, i_finish=2299, 2020-09-25 09:19:21.522812
calc_for_portion(i_start=3400, i_finish=3499, 2020-09-25 09:19:22.743783
calc_for_portion(i_start=1600, i_finish=1699, 2020-09-25 09:19:23.181144
calc_for_portion(i_start=2800, i_finish=2899, 2020-09-25 09:19:23.181468
calc_for_portion(i_start=1000, i_finish=1099, 2020-09-25 09:19:25.291640
calc_for_portion(i_start=400, i_finish=499, 2020-09-25 09:19:27.802918
calc_for_portion(i_start=1700, i_finish=1799, 2020-09-25 09:20:19.555200
calc_for_portion(i_start=3500, i_finish=3599, 2020-09-25 09:20:20.881023
calc_for_portion(i_start=2300, i_finish=2399, 2020-09-25 09:20:21.533381
calc_for_portion(i_start=2900, i_finish=2999, 2020-09-25 09:20:21.792083
